model,event_index,year,draw_number,drawing_no,predicted_top6,actual_numbers,matched_numbers,hit_count
frequency_baseline,8187,2011,99,1,4 44 49 25 17 1,8 17 18 19 35 38,17,1
frequency_baseline,8188,2011,99,2,4 44 49 25 17 1,1 6 9 20 37 45,1,1
frequency_baseline,8189,2011,100,1,4 44 49 25 17 1,2 7 11 39 43 46,,0
frequency_baseline,8190,2011,100,2,4 44 49 25 17 1,9 10 20 32 41 44,44,1
frequency_baseline,8191,2011,101,1,4 44 49 25 17 1,1 18 28 42 47 48,1,1
frequency_baseline,8192,2011,101,2,4 44 49 25 17 1,19 33 39 40 44 47,44,1
frequency_baseline,8193,2011,102,1,4 44 49 25 17 1,3 5 7 10 12 36,,0
frequency_baseline,8194,2011,102,2,4 44 49 25 17 1,11 13 23 28 42 48,,0
frequency_baseline,8195,2011,103,1,4 44 49 25 17 1,1 15 17 18 27 31,1 17,2
frequency_baseline,8196,2011,103,2,4 44 49 25 17 1,6 12 20 26 31 44,44,1
frequency_baseline,8197,2012,0,1,4 44 49 25 17 1,3 10 23 25 28 31,25,1
frequency_baseline,8198,2012,0,2,4 44 49 25 17 1,6 7 16 20 46 49,49,1
frequency_baseline,8199,2012,1,1,4 44 49 25 17 1,7 8 18 38 41 42,,0
frequency_baseline,8200,2012,1,2,4 44 49 25 17 1,6 13 24 25 26 33,25,1
frequency_baseline,8201,2012,2,1,4 44 49 25 17 1,1 7 23 28 41 45,1,1
frequency_baseline,8202,2012,2,2,4 44 49 25 17 1,5 13 16 18 20 31,,0
frequency_baseline,8203,2012,3,1,4 44 49 25 17 1,2 10 14 22 23 45,,0
frequency_baseline,8204,2012,3,2,4 44 49 25 17 1,4 28 32 39 40 48,4,1
frequency_baseline,8205,2012,4,1,4 44 49 25 17 1,4 9 21 27 38 46,4,1
frequency_baseline,8206,2012,4,2,4 44 49 25 17 1,13 20 22 23 27 29,,0
frequency_baseline,8207,2012,5,1,4 44 49 25 17 1,6 17 18 20 38 48,17,1
frequency_baseline,8208,2012,5,2,4 44 49 25 17 1,5 9 17 19 26 39,17,1
frequency_baseline,8209,2012,6,1,4 44 49 25 17 1,2 9 24 29 45 47,,0
frequency_baseline,8210,2012,6,2,4 44 49 25 17 1,6 13 16 23 39 45,,0
frequency_baseline,8211,2012,7,1,4 44 49 25 17 6,11 14 25 30 33 45,25,1
frequency_baseline,8212,2012,7,2,4 44 49 25 17 6,11 17 18 21 24 31,17,1
frequency_baseline,8213,2012,8,1,4 44 49 25 17 6,1 2 20 30 32 35,,0
frequency_baseline,8214,2012,8,2,4 44 49 25 17 1,1 9 15 22 23 33,1,1
frequency_baseline,8215,2012,9,1,4 44 49 25 17 1,2 4 10 29 34 47,4,1
frequency_baseline,8216,2012,9,2,4 44 49 25 17 1,4 14 22 28 32 37,4,1
frequency_baseline,8217,2012,10,1,4 44 49 25 17 1,9 15 19 22 27 28,,0
frequency_baseline,8218,2012,10,2,4 44 49 25 17 1,10 35 37 39 43 49,49,1
frequency_baseline,8219,2012,11,1,4 44 49 25 17 1,15 24 28 31 32 40,,0
frequency_baseline,8220,2012,11,2,4 44 49 25 17 1,1 7 13 24 25 49,1 25 49,3
frequency_baseline,8221,2012,12,1,4 44 49 25 17 1,8 12 14 26 27 34,,0
frequency_baseline,8222,2012,12,2,4 44 49 25 17 1,3 19 20 33 34 40,,0
frequency_baseline,8223,2012,13,1,4 44 49 25 17 1,15 21 22 38 40 47,,0
frequency_baseline,8224,2012,13,2,4 44 49 25 17 1,8 14 16 28 31 48,,0
frequency_baseline,8225,2012,14,1,4 44 49 25 17 1,3 20 33 43 45 47,,0
frequency_baseline,8226,2012,14,2,4 44 49 25 17 1,21 29 31 34 45 48,,0
frequency_baseline,8227,2012,15,1,4 44 49 25 17 1,6 11 17 18 37 49,17 49,2
frequency_baseline,8228,2012,15,2,4 44 49 25 17 1,13 23 28 34 35 36,,0
frequency_baseline,8229,2012,16,1,4 44 49 25 17 28,2 3 20 22 25 47,25,1
frequency_baseline,8230,2012,16,2,4 44 49 25 17 28,11 15 22 26 41 48,,0
frequency_baseline,8231,2012,17,1,4 44 49 25 17 28,2 3 7 8 19 21,,0
frequency_baseline,8232,2012,17,2,4 44 49 25 17 28,3 4 12 15 30 38,4,1
frequency_baseline,8233,2012,18,1,4 44 49 25 17 28,6 10 13 25 32 38,25,1
frequency_baseline,8234,2012,18,2,4 44 49 25 17 28,2 24 25 31 33 40,25,1
frequency_baseline,8235,2012,19,1,4 44 49 25 17 28,2 4 24 29 35 45,4,1
frequency_baseline,8236,2012,19,2,4 44 49 25 17 28,9 11 14 15 28 41,28,1
frequency_baseline,8237,2012,20,1,4 44 49 25 17 28,2 25 35 39 40 47,25,1
frequency_baseline,8238,2012,20,2,4 44 49 25 17 28,10 15 16 27 41 47,,0
frequency_baseline,8239,2012,21,1,4 44 49 25 17 28,15 20 24 27 28 42,28,1
frequency_baseline,8240,2012,21,2,4 44 49 25 28 17,5 10 19 25 32 37,25,1
frequency_baseline,8241,2012,22,1,4 44 49 25 28 17,14 22 24 26 29 35,,0
frequency_baseline,8242,2012,22,2,4 44 49 25 28 17,4 6 21 27 34 49,4 49,2
frequency_baseline,8243,2012,23,1,4 49 44 25 28 17,5 16 18 30 43 46,,0
frequency_baseline,8244,2012,23,2,4 49 44 25 28 17,7 21 22 26 37 48,,0
frequency_baseline,8245,2012,24,1,4 49 44 25 28 17,6 14 21 23 29 47,,0
frequency_baseline,8246,2012,24,2,4 49 44 25 28 6,4 8 15 24 36 39,4,1
frequency_baseline,8247,2012,25,1,4 49 44 25 28 6,14 24 26 31 46 48,,0
frequency_baseline,8248,2012,25,2,4 49 44 25 28 6,3 10 11 15 28 42,28,1
frequency_baseline,8249,2012,26,1,4 49 44 25 28 6,2 3 9 19 29 32,,0
frequency_baseline,8250,2012,26,2,4 49 44 25 28 6,3 5 15 18 21 22,,0
frequency_baseline,8251,2012,27,1,4 49 44 25 28 6,4 20 35 36 37 39,4,1
frequency_baseline,8252,2012,27,2,4 49 44 25 28 6,9 17 19 21 38 44,44,1
frequency_baseline,8253,2012,28,1,4 44 49 25 28 17,8 14 18 22 28 44,28 44,2
frequency_baseline,8254,2012,28,2,4 44 49 25 28 17,2 3 24 31 40 46,,0
frequency_baseline,8255,2012,29,1,4 44 49 25 28 17,1 10 24 35 37 38,,0
frequency_baseline,8256,2012,29,2,4 44 49 25 28 17,15 16 17 23 29 30,17,1
frequency_baseline,8257,2012,30,1,4 44 49 25 28 17,2 11 14 18 22 25,25,1
frequency_baseline,8258,2012,30,2,4 44 49 25 28 17,3 11 26 28 40 44,28 44,2
frequency_baseline,8259,2012,31,1,4 44 49 25 28 17,10 11 21 28 38 40,28,1
frequency_baseline,8260,2012,31,2,4 44 49 25 28 17,9 12 13 23 27 33,,0
frequency_baseline,8261,2012,32,1,4 44 49 25 28 17,5 10 21 31 35 42,,0
frequency_baseline,8262,2012,32,2,4 44 49 25 28 17,11 15 23 27 33 43,,0
frequency_baseline,8263,2012,33,1,4 44 49 25 28 17,6 15 22 29 30 42,,0
frequency_baseline,8264,2012,33,2,4 44 49 25 28 17,5 21 36 42 44 47,44,1
frequency_baseline,8265,2012,34,1,4 44 49 25 28 17,11 36 38 40 47 48,,0
frequency_baseline,8266,2012,34,2,4 44 49 25 28 17,6 7 20 28 40 49,28 49,2
frequency_baseline,8267,2012,35,1,4 44 49 25 28 6,1 12 19 20 35 38,,0
frequency_baseline,8268,2012,35,2,4 44 49 25 28 6,7 9 21 33 38 39,,0
frequency_baseline,8269,2012,36,1,4 44 49 25 28 6,7 8 10 11 23 35,,0
frequency_baseline,8270,2012,36,2,4 44 49 25 28 6,15 17 20 22 28 29,28,1
