number_a,number_b,r_pair_count,r_pair_score
4,22,145.0,0.726027397260274
4,42,145.0,0.726027397260274
46,49,145.0,0.726027397260274
5,35,145.0,0.726027397260274
7,26,145.0,0.726027397260274
9,43,145.0,0.726027397260274
1,9,144.0,0.7123287671232876
11,17,144.0,0.7123287671232876
11,44,144.0,0.7123287671232876
14,49,144.0,0.7123287671232876
15,33,144.0,0.7123287671232876
17,18,144.0,0.7123287671232876
19,21,144.0,0.7123287671232876
2,13,144.0,0.7123287671232876
22,29,144.0,0.7123287671232876
22,48,144.0,0.7123287671232876
25,28,144.0,0.7123287671232876
35,47,144.0,0.7123287671232876
38,44,144.0,0.7123287671232876
4,37,144.0,0.7123287671232876
5,9,144.0,0.7123287671232876
6,38,144.0,0.7123287671232876
8,42,144.0,0.7123287671232876
9,28,144.0,0.7123287671232876
1,27,143.0,0.6986301369863014
1,36,143.0,0.6986301369863014
11,21,143.0,0.6986301369863014
12,18,143.0,0.6986301369863014
15,22,143.0,0.6986301369863014
2,34,143.0,0.6986301369863014
20,35,143.0,0.6986301369863014
21,44,143.0,0.6986301369863014
22,25,143.0,0.6986301369863014
24,49,143.0,0.6986301369863014
28,46,143.0,0.6986301369863014
38,42,143.0,0.6986301369863014
4,9,143.0,0.6986301369863014
6,7,143.0,0.6986301369863014
9,20,143.0,0.6986301369863014
10,20,142.0,0.684931506849315
10,33,142.0,0.684931506849315
12,34,142.0,0.684931506849315
12,36,142.0,0.684931506849315
12,37,142.0,0.684931506849315
13,25,142.0,0.684931506849315
14,34,142.0,0.684931506849315
16,34,142.0,0.684931506849315
17,47,142.0,0.684931506849315
17,49,142.0,0.684931506849315
20,39,142.0,0.684931506849315
24,25,142.0,0.684931506849315
28,48,142.0,0.684931506849315
29,30,142.0,0.684931506849315
3,34,142.0,0.684931506849315
33,49,142.0,0.684931506849315
34,40,142.0,0.684931506849315
34,42,142.0,0.684931506849315
34,48,142.0,0.684931506849315
38,48,142.0,0.684931506849315
4,45,142.0,0.684931506849315
42,48,142.0,0.684931506849315
43,46,142.0,0.684931506849315
6,35,142.0,0.684931506849315
6,37,142.0,0.684931506849315
9,17,142.0,0.684931506849315
1,16,141.0,0.6712328767123288
1,17,141.0,0.6712328767123288
11,13,141.0,0.6712328767123288
11,30,141.0,0.6712328767123288
11,36,141.0,0.6712328767123288
11,38,141.0,0.6712328767123288
17,20,141.0,0.6712328767123288
18,23,141.0,0.6712328767123288
2,7,141.0,0.6712328767123288
21,39,141.0,0.6712328767123288
22,38,141.0,0.6712328767123288
24,31,141.0,0.6712328767123288
3,14,141.0,0.6712328767123288
32,44,141.0,0.6712328767123288
35,44,141.0,0.6712328767123288
38,45,141.0,0.6712328767123288
4,48,141.0,0.6712328767123288
42,47,141.0,0.6712328767123288
43,49,141.0,0.6712328767123288
45,48,141.0,0.6712328767123288
5,22,141.0,0.6712328767123288
5,30,141.0,0.6712328767123288
7,48,141.0,0.6712328767123288
8,45,141.0,0.6712328767123288
9,35,141.0,0.6712328767123288
1,24,140.0,0.6575342465753424
1,34,140.0,0.6575342465753424
1,35,140.0,0.6575342465753424
1,37,140.0,0.6575342465753424
1,43,140.0,0.6575342465753424
1,6,140.0,0.6575342465753424
12,22,140.0,0.6575342465753424
13,14,140.0,0.6575342465753424
15,35,140.0,0.6575342465753424
16,32,140.0,0.6575342465753424
16,37,140.0,0.6575342465753424
16,38,140.0,0.6575342465753424
17,21,140.0,0.6575342465753424
17,30,140.0,0.6575342465753424
17,42,140.0,0.6575342465753424
19,32,140.0,0.6575342465753424
19,49,140.0,0.6575342465753424
2,19,140.0,0.6575342465753424
21,23,140.0,0.6575342465753424
21,33,140.0,0.6575342465753424
22,28,140.0,0.6575342465753424
22,42,140.0,0.6575342465753424
24,43,140.0,0.6575342465753424
26,34,140.0,0.6575342465753424
26,47,140.0,0.6575342465753424
44,48,140.0,0.6575342465753424
45,49,140.0,0.6575342465753424
6,24,140.0,0.6575342465753424
7,12,140.0,0.6575342465753424
7,35,140.0,0.6575342465753424
7,45,140.0,0.6575342465753424
8,30,140.0,0.6575342465753424
8,33,140.0,0.6575342465753424
9,31,140.0,0.6575342465753424
9,34,140.0,0.6575342465753424
1,28,139.0,0.6438356164383562
11,15,139.0,0.6438356164383562
12,20,139.0,0.6438356164383562
17,32,139.0,0.6438356164383562
17,44,139.0,0.6438356164383562
2,39,139.0,0.6438356164383562
21,30,139.0,0.6438356164383562
21,42,139.0,0.6438356164383562
24,27,139.0,0.6438356164383562
24,33,139.0,0.6438356164383562
25,34,139.0,0.6438356164383562
27,28,139.0,0.6438356164383562
28,44,139.0,0.6438356164383562
29,47,139.0,0.6438356164383562
29,48,139.0,0.6438356164383562
3,31,139.0,0.6438356164383562
33,46,139.0,0.6438356164383562
38,43,139.0,0.6438356164383562
4,46,139.0,0.6438356164383562
6,49,139.0,0.6438356164383562
9,12,139.0,0.6438356164383562
9,25,139.0,0.6438356164383562
12,30,138.0,0.6301369863013698
12,33,138.0,0.6301369863013698
14,20,138.0,0.6301369863013698
15,40,138.0,0.6301369863013698
16,44,138.0,0.6301369863013698
16,45,138.0,0.6301369863013698
18,27,138.0,0.6301369863013698
19,36,138.0,0.6301369863013698
20,33,138.0,0.6301369863013698
20,48,138.0,0.6301369863013698
21,41,138.0,0.6301369863013698
24,37,138.0,0.6301369863013698
24,42,138.0,0.6301369863013698
25,39,138.0,0.6301369863013698
25,42,138.0,0.6301369863013698
29,34,138.0,0.6301369863013698
30,36,138.0,0.6301369863013698
31,48,138.0,0.6301369863013698
33,44,138.0,0.6301369863013698
35,41,138.0,0.6301369863013698
36,46,138.0,0.6301369863013698
39,48,138.0,0.6301369863013698
4,13,138.0,0.6301369863013698
42,44,138.0,0.6301369863013698
43,44,138.0,0.6301369863013698
5,16,138.0,0.6301369863013698
6,12,138.0,0.6301369863013698
6,33,138.0,0.6301369863013698
8,18,138.0,0.6301369863013698
10,16,137.0,0.6164383561643836
10,46,137.0,0.6164383561643836
11,33,137.0,0.6164383561643836
