group,n1,n2,n3,count,recent_count,last_seen_index,gap,frequency_score,recency_score,overdue_score,group_score
3-15-25,3,15,25,8,1,10007,51,0.32,0.25,0.005071,0.400239
2-3-21,2,3,21,8,1,10007,51,0.32,0.25,0.005071,0.400239
3-15-18,3,15,18,8,1,10007,51,0.32,0.25,0.005071,0.400239
15-21-25,15,21,25,8,1,10007,51,0.32,0.25,0.005071,0.400239
2-3-15,2,3,15,8,1,10007,51,0.32,0.25,0.005071,0.400239
6-7-18,6,7,18,12,0,9135,923,0.48,0.0,0.091768,0.400235
7-18-26,7,18,26,12,0,9135,923,0.48,0.0,0.091768,0.400235
7-16-31,7,16,31,8,1,10006,52,0.32,0.25,0.00517,0.400224
22-26-39,22,26,39,12,0,9134,924,0.48,0.0,0.091867,0.40022
4-22-41,4,22,41,12,0,9134,924,0.48,0.0,0.091867,0.40022
15-25-40,15,25,40,8,1,10005,53,0.32,0.25,0.005269,0.40021
38-40-44,38,40,44,8,1,10005,53,0.32,0.25,0.005269,0.40021
21-34-46,21,34,46,12,0,9132,926,0.48,0.0,0.092066,0.40019
1-14-46,1,14,46,12,0,9132,926,0.48,0.0,0.092066,0.40019
10-13-30,10,13,30,8,1,10003,55,0.32,0.25,0.005468,0.40018
3-10-30,3,10,30,8,1,10003,55,0.32,0.25,0.005468,0.40018
16-32-33,16,32,33,12,0,9131,927,0.48,0.0,0.092165,0.400175
24-36-48,24,36,48,8,1,10002,56,0.32,0.25,0.005568,0.400165
24-36-40,24,36,40,8,1,10002,56,0.32,0.25,0.005568,0.400165
9-21-39,9,21,39,12,0,9130,928,0.48,0.0,0.092265,0.40016
29-34-41,29,34,41,12,0,9129,929,0.48,0.0,0.092364,0.400145
2-14-27,2,14,27,8,1,9999,59,0.32,0.25,0.005866,0.40012
9-11-43,9,11,43,13,0,7652,2406,0.52,0.0,0.239213,0.400118
7-22-40,7,22,40,12,0,9126,932,0.48,0.0,0.092663,0.400101
1-31-43,1,31,43,8,1,9997,61,0.32,0.25,0.006065,0.40009
7-9-38,7,9,38,12,0,9125,933,0.48,0.0,0.092762,0.400086
21-35-38,21,35,38,12,0,9125,933,0.48,0.0,0.092762,0.400086
21-35-41,21,35,41,12,0,9125,933,0.48,0.0,0.092762,0.400086
14-40-49,14,40,49,8,1,9996,62,0.32,0.25,0.006164,0.400075
14-32-38,14,32,38,8,1,9996,62,0.32,0.25,0.006164,0.400075
4-31-34,4,31,34,12,0,9124,934,0.48,0.0,0.092861,0.400071
9-18-38,9,18,38,12,0,9124,934,0.48,0.0,0.092861,0.400071
3-35-36,3,35,36,8,1,9995,63,0.32,0.25,0.006264,0.40006
3-9-27,3,9,27,8,1,9995,63,0.32,0.25,0.006264,0.40006
3-5-46,3,5,46,12,0,9123,935,0.48,0.0,0.092961,0.400056
14-27-33,14,27,33,8,1,9994,64,0.32,0.25,0.006363,0.400046
14-33-35,14,33,35,8,1,9994,64,0.32,0.25,0.006363,0.400046
6-10-23,6,10,23,8,1,9993,65,0.32,0.25,0.006463,0.400031
4-6-10,4,6,10,8,1,9993,65,0.32,0.25,0.006463,0.400031
24-31-41,24,31,41,12,0,9121,937,0.48,0.0,0.09316,0.400026
34-37-40,34,37,40,8,1,9992,66,0.32,0.25,0.006562,0.400016
17-25-30,17,25,30,8,1,9991,67,0.32,0.25,0.006661,0.400001
7-18-42,7,18,42,8,1,9991,67,0.32,0.25,0.006661,0.400001
24-38-40,24,38,40,12,0,9119,939,0.48,0.0,0.093359,0.399996
16-42-47,16,42,47,12,0,9118,940,0.48,0.0,0.093458,0.399981
5-11-39,5,11,39,8,1,9989,69,0.32,0.25,0.00686,0.399971
5-39-43,5,39,43,8,1,9989,69,0.32,0.25,0.00686,0.399971
11-28-39,11,28,39,8,1,9989,69,0.32,0.25,0.00686,0.399971
17-32-46,17,32,46,8,1,9988,70,0.32,0.25,0.00696,0.399956
17-28-32,17,28,32,8,1,9988,70,0.32,0.25,0.00696,0.399956
13-17-38,13,17,38,8,1,9987,71,0.32,0.25,0.007059,0.399941
4-20-26,4,20,26,12,0,9115,943,0.48,0.0,0.093756,0.399937
21-41-46,21,41,46,12,0,9114,944,0.48,0.0,0.093856,0.399922
3-28-36,3,28,36,8,1,9985,73,0.32,0.25,0.007258,0.399911
1-7-9,1,7,9,12,0,9113,945,0.48,0.0,0.093955,0.399907
3-28-46,3,28,46,8,1,9984,74,0.32,0.25,0.007357,0.399896
16-31-40,16,31,40,12,0,9112,946,0.48,0.0,0.094054,0.399892
8-16-40,8,16,40,12,0,9112,946,0.48,0.0,0.094054,0.399892
9-16-40,9,16,40,12,0,9112,946,0.48,0.0,0.094054,0.399892
14-28-34,14,28,34,13,0,7636,2422,0.52,0.0,0.240803,0.399879
5-14-34,5,14,34,8,1,9981,77,0.32,0.25,0.007656,0.399852
10-12-31,10,12,31,12,0,9109,949,0.48,0.0,0.094353,0.399847
12-31-44,12,31,44,12,0,9109,949,0.48,0.0,0.094353,0.399847
8-10-44,8,10,44,12,0,9109,949,0.48,0.0,0.094353,0.399847
11-25-31,11,25,31,8,1,9980,78,0.32,0.25,0.007755,0.399837
23-25-44,23,25,44,12,0,9108,950,0.48,0.0,0.094452,0.399832
13-25-28,13,25,28,12,0,9108,950,0.48,0.0,0.094452,0.399832
24-26-35,24,26,35,8,1,9979,79,0.32,0.25,0.007854,0.399822
4-7-45,4,7,45,8,1,9978,80,0.32,0.25,0.007954,0.399807
3-5-37,3,5,37,12,0,9106,952,0.48,0.0,0.094651,0.399802
15-37-45,15,37,45,12,0,9106,952,0.48,0.0,0.094651,0.399802
9-12-42,9,12,42,8,1,9976,82,0.32,0.25,0.008153,0.399777
5-11-16,5,11,16,8,1,9975,83,0.32,0.25,0.008252,0.399762
5-11-23,5,11,23,8,1,9975,83,0.32,0.25,0.008252,0.399762
5-21-38,5,21,38,8,1,9975,83,0.32,0.25,0.008252,0.399762
19-30-47,19,30,47,8,1,9974,84,0.32,0.25,0.008352,0.399747
6-29-42,6,29,42,12,0,9102,956,0.48,0.0,0.095049,0.399743
1-18-36,1,18,36,12,0,9102,956,0.48,0.0,0.095049,0.399743
7-37-43,7,37,43,8,1,9973,85,0.32,0.25,0.008451,0.399732
4-15-49,4,15,49,12,0,9101,957,0.48,0.0,0.095148,0.399728
11-29-37,11,29,37,8,1,9972,86,0.32,0.25,0.00855,0.399717
11-17-29,11,17,29,8,1,9972,86,0.32,0.25,0.00855,0.399717
22-24-39,22,24,39,12,0,9100,958,0.48,0.0,0.095248,0.399713
17-29-43,17,29,43,8,1,9971,87,0.32,0.25,0.00865,0.399703
17-25-46,17,25,46,12,0,9099,959,0.48,0.0,0.095347,0.399698
17-25-33,17,25,33,12,0,9099,959,0.48,0.0,0.095347,0.399698
4-10-26,4,10,26,8,1,9970,88,0.32,0.25,0.008749,0.399688
