year,draw_number,date,drawing_no,n1,n2,n3,n4,n5,n6,bonus_number,source,source_url,source_file,parser_format,data_status
1959,12,,1,8,18,26,32,35,43,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,13,,1,16,18,28,43,45,49,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,14,,1,9,11,25,30,38,42,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,15,,1,2,10,13,17,25,27,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,16,,1,12,17,19,30,39,48,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,17,,1,2,11,15,24,37,44,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,18,,1,1,15,21,36,40,41,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,19,,1,2,18,22,23,36,48,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,20,,1,23,24,32,41,44,48,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,21,,1,2,4,30,37,44,47,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,22,,1,16,23,26,34,37,48,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,23,,1,18,21,29,30,31,44,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,24,,1,6,8,12,17,24,31,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,25,,1,7,12,13,23,26,39,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,26,,1,8,9,17,25,41,46,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,27,,1,3,19,20,31,36,40,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,28,,1,13,15,16,18,34,40,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,29,,1,4,20,26,31,34,41,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,30,,1,12,24,36,37,39,44,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,31,,1,8,11,21,30,34,49,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,32,,1,6,28,36,42,45,48,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,33,,1,7,10,28,39,44,48,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,34,,1,4,16,17,40,44,49,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,35,,1,8,12,43,44,46,48,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,36,,1,5,25,31,45,46,48,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,37,,1,7,8,11,24,27,39,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,38,,1,4,8,17,18,29,43,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,39,,1,14,19,20,27,44,48,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,40,,1,2,5,13,14,28,32,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,41,,1,1,8,15,26,36,46,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,42,,1,9,21,26,28,42,43,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,43,,1,10,15,22,26,27,41,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,44,,1,11,13,29,32,41,46,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,45,,1,5,12,28,29,33,43,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,46,,1,1,20,32,36,39,44,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,47,,1,4,11,22,28,31,42,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,48,,1,2,7,9,11,18,43,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,49,,1,4,11,13,16,24,39,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,50,,1,5,16,21,22,44,45,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,51,,1,21,24,30,36,39,41,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,52,,1,18,35,36,41,43,45,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1960,1,,1,5,9,21,24,39,48,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,2,,1,13,14,25,29,42,48,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,3,,1,15,16,19,23,39,45,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,4,,1,1,3,6,21,31,42,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,5,,1,3,6,23,42,46,49,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,6,,1,2,4,5,9,13,31,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,7,,1,8,17,28,29,38,43,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,8,,1,1,2,12,17,24,49,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,9,,1,10,22,27,38,46,49,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,10,,1,11,15,18,31,38,49,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,11,,1,1,3,4,11,37,38,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,12,,1,2,8,29,37,41,46,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,13,,1,3,14,18,24,29,39,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,14,,1,15,24,25,29,38,48,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,15,,1,14,23,33,36,37,48,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,16,,1,6,17,18,23,42,49,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,17,,1,4,10,12,25,27,33,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,18,,1,3,5,6,16,44,49,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,19,,1,12,16,21,39,41,49,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,20,,1,3,5,11,12,19,30,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,21,,1,3,4,23,25,44,48,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,22,,1,5,24,26,35,41,44,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,23,,1,1,2,5,29,38,39,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,24,,1,1,11,25,26,34,46,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,25,,1,9,13,16,34,38,41,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,26,,1,6,30,39,40,44,46,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,27,,1,1,13,16,17,25,35,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,28,,1,4,6,20,22,38,40,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,29,,1,12,15,19,25,35,45,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,30,,1,1,14,19,25,28,39,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,31,,1,6,7,21,27,36,39,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,32,,1,12,14,22,28,29,34,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,33,,1,4,5,17,21,30,47,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
1960,34,,1,20,21,23,28,34,44,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_60.txt,649_1960.txt,comma_single_or_repeated_draw,available_without_bonus
