draw_event_id,year,draw_number,date,drawing_no,n1,n2,n3,n4,n5,n6,bonus_number,source,source_url,source_draw_id,data_status
1961-21-1,1961,21,,1,12,18,23,31,36,45,,historical_draws.csv,raw:bst_649_1961.txt,178,available_without_bonus
1961-22-1,1961,22,,1,24,25,33,37,40,41,,historical_draws.csv,raw:bst_649_1961.txt,179,available_without_bonus
1961-23-1,1961,23,,1,2,22,29,39,41,44,,historical_draws.csv,raw:bst_649_1961.txt,180,available_without_bonus
1961-24-1,1961,24,,1,27,28,29,36,39,48,,historical_draws.csv,raw:bst_649_1961.txt,181,available_without_bonus
1961-25-1,1961,25,,1,20,22,39,40,41,49,,historical_draws.csv,raw:bst_649_1961.txt,182,available_without_bonus
1961-26-1,1961,26,,1,1,4,14,18,28,38,,historical_draws.csv,raw:bst_649_1961.txt,183,available_without_bonus
1961-27-1,1961,27,,1,7,11,13,17,33,48,,historical_draws.csv,raw:bst_649_1961.txt,184,available_without_bonus
1961-28-1,1961,28,,1,4,9,12,30,38,41,,historical_draws.csv,raw:bst_649_1961.txt,185,available_without_bonus
1961-29-1,1961,29,,1,6,7,19,31,37,43,,historical_draws.csv,raw:bst_649_1961.txt,186,available_without_bonus
1961-30-1,1961,30,,1,2,17,22,25,31,49,,historical_draws.csv,raw:bst_649_1961.txt,187,available_without_bonus
1961-31-1,1961,31,,1,7,9,33,41,47,49,,historical_draws.csv,raw:bst_649_1961.txt,188,available_without_bonus
1961-32-1,1961,32,,1,2,12,14,29,46,48,,historical_draws.csv,raw:bst_649_1961.txt,189,available_without_bonus
1961-33-1,1961,33,,1,6,7,24,41,43,44,,historical_draws.csv,raw:bst_649_1961.txt,190,available_without_bonus
1961-34-1,1961,34,,1,14,21,26,43,44,46,,historical_draws.csv,raw:bst_649_1961.txt,191,available_without_bonus
1961-35-1,1961,35,,1,8,13,30,31,35,46,,historical_draws.csv,raw:bst_649_1961.txt,192,available_without_bonus
1961-36-1,1961,36,,1,10,11,12,15,36,44,,historical_draws.csv,raw:bst_649_1961.txt,193,available_without_bonus
1961-37-1,1961,37,,1,2,16,22,27,37,42,,historical_draws.csv,raw:bst_649_1961.txt,194,available_without_bonus
1961-38-1,1961,38,,1,1,2,6,31,34,40,,historical_draws.csv,raw:bst_649_1961.txt,195,available_without_bonus
1961-39-1,1961,39,,1,1,18,22,23,26,30,,historical_draws.csv,raw:bst_649_1961.txt,196,available_without_bonus
1961-40-1,1961,40,,1,10,12,31,33,40,44,,historical_draws.csv,raw:bst_649_1961.txt,197,available_without_bonus
1961-41-1,1961,41,,1,5,8,21,29,31,34,,historical_draws.csv,raw:bst_649_1961.txt,198,available_without_bonus
1961-42-1,1961,42,,1,7,16,27,36,37,47,,historical_draws.csv,raw:bst_649_1961.txt,199,available_without_bonus
1961-43-1,1961,43,,1,17,21,25,26,37,49,,historical_draws.csv,raw:bst_649_1961.txt,200,available_without_bonus
1961-44-1,1961,44,,1,7,12,15,16,18,37,,historical_draws.csv,raw:bst_649_1961.txt,201,available_without_bonus
1961-45-1,1961,45,,1,3,12,22,28,32,49,,historical_draws.csv,raw:bst_649_1961.txt,202,available_without_bonus
1961-46-1,1961,46,,1,6,14,25,30,40,45,,historical_draws.csv,raw:bst_649_1961.txt,203,available_without_bonus
1961-47-1,1961,47,,1,1,15,19,20,25,46,,historical_draws.csv,raw:bst_649_1961.txt,204,available_without_bonus
1961-48-1,1961,48,,1,2,9,10,13,14,31,,historical_draws.csv,raw:bst_649_1961.txt,205,available_without_bonus
1961-49-1,1961,49,,1,3,11,12,18,20,43,,historical_draws.csv,raw:bst_649_1961.txt,206,available_without_bonus
1961-50-1,1961,50,,1,5,7,15,16,31,47,,historical_draws.csv,raw:bst_649_1961.txt,207,available_without_bonus
1961-51-1,1961,51,,1,1,3,9,11,21,35,,historical_draws.csv,raw:bst_649_1961.txt,208,available_without_bonus
1961-52-1,1961,52,,1,16,30,37,41,46,47,,historical_draws.csv,raw:bst_649_1961.txt,209,available_without_bonus
1961-53-1,1961,53,,1,5,10,14,17,22,26,,historical_draws.csv,raw:bst_649_1961.txt,210,available_without_bonus
1962-1-1,1962,1,,1,15,27,29,40,43,47,,historical_draws.csv,raw:bst_649_1962.txt,211,available_without_bonus
1962-2-1,1962,2,,1,2,14,21,43,45,49,,historical_draws.csv,raw:bst_649_1962.txt,212,available_without_bonus
1962-3-1,1962,3,,1,1,9,12,19,47,48,,historical_draws.csv,raw:bst_649_1962.txt,213,available_without_bonus
1962-4-1,1962,4,,1,2,12,23,35,36,41,,historical_draws.csv,raw:bst_649_1962.txt,214,available_without_bonus
1962-5-1,1962,5,,1,14,15,24,34,36,49,,historical_draws.csv,raw:bst_649_1962.txt,215,available_without_bonus
1962-6-1,1962,6,,1,4,10,15,26,36,49,,historical_draws.csv,raw:bst_649_1962.txt,216,available_without_bonus
1962-7-1,1962,7,,1,10,13,39,42,43,44,,historical_draws.csv,raw:bst_649_1962.txt,217,available_without_bonus
1962-8-1,1962,8,,1,13,14,16,19,26,37,,historical_draws.csv,raw:bst_649_1962.txt,218,available_without_bonus
1962-9-1,1962,9,,1,1,9,21,29,36,38,,historical_draws.csv,raw:bst_649_1962.txt,219,available_without_bonus
1962-10-1,1962,10,,1,1,4,8,9,25,38,,historical_draws.csv,raw:bst_649_1962.txt,220,available_without_bonus
1962-11-1,1962,11,,1,6,7,11,17,36,39,,historical_draws.csv,raw:bst_649_1962.txt,221,available_without_bonus
1962-12-1,1962,12,,1,4,8,10,20,24,27,,historical_draws.csv,raw:bst_649_1962.txt,222,available_without_bonus
1962-13-1,1962,13,,1,6,7,11,18,22,32,,historical_draws.csv,raw:bst_649_1962.txt,223,available_without_bonus
1962-14-1,1962,14,,1,4,10,24,43,48,49,,historical_draws.csv,raw:bst_649_1962.txt,224,available_without_bonus
1962-15-1,1962,15,,1,7,18,26,30,31,34,,historical_draws.csv,raw:bst_649_1962.txt,225,available_without_bonus
