draw_id,date,n1,n2,n3,n4,n5,n6,year,draw_number,draw_position,source_url,draw_no,bonus_number,source
161,,7,11,25,27,36,40,1961,4,1,raw:bst_649_1961.txt,4,,
162,,17,28,30,39,40,47,1961,5,1,raw:bst_649_1961.txt,5,,
163,,2,5,17,20,40,48,1961,6,1,raw:bst_649_1961.txt,6,,
164,,11,29,30,42,45,48,1961,7,1,raw:bst_649_1961.txt,7,,
165,,1,20,27,28,37,42,1961,8,1,raw:bst_649_1961.txt,8,,
166,,3,23,27,28,38,40,1961,9,1,raw:bst_649_1961.txt,9,,
167,,3,24,33,41,42,47,1961,10,1,raw:bst_649_1961.txt,10,,
168,,4,10,21,41,42,47,1961,11,1,raw:bst_649_1961.txt,11,,
169,,6,10,11,21,26,48,1961,12,1,raw:bst_649_1961.txt,12,,
170,,11,22,24,32,34,45,1961,13,1,raw:bst_649_1961.txt,13,,
171,,16,22,24,25,37,43,1961,14,1,raw:bst_649_1961.txt,14,,
172,,3,6,12,14,38,40,1961,15,1,raw:bst_649_1961.txt,15,,
173,,4,19,30,35,42,49,1961,16,1,raw:bst_649_1961.txt,16,,
174,,6,23,29,34,35,39,1961,17,1,raw:bst_649_1961.txt,17,,
175,,3,13,27,35,36,37,1961,18,1,raw:bst_649_1961.txt,18,,
176,,3,5,29,38,40,45,1961,19,1,raw:bst_649_1961.txt,19,,
177,,5,15,16,34,38,49,1961,20,1,raw:bst_649_1961.txt,20,,
178,,12,18,23,31,36,45,1961,21,1,raw:bst_649_1961.txt,21,,
179,,24,25,33,37,40,41,1961,22,1,raw:bst_649_1961.txt,22,,
180,,2,22,29,39,41,44,1961,23,1,raw:bst_649_1961.txt,23,,
181,,27,28,29,36,39,48,1961,24,1,raw:bst_649_1961.txt,24,,
182,,20,22,39,40,41,49,1961,25,1,raw:bst_649_1961.txt,25,,
183,,1,4,14,18,28,38,1961,26,1,raw:bst_649_1961.txt,26,,
184,,7,11,13,17,33,48,1961,27,1,raw:bst_649_1961.txt,27,,
185,,4,9,12,30,38,41,1961,28,1,raw:bst_649_1961.txt,28,,
186,,6,7,19,31,37,43,1961,29,1,raw:bst_649_1961.txt,29,,
187,,2,17,22,25,31,49,1961,30,1,raw:bst_649_1961.txt,30,,
188,,7,9,33,41,47,49,1961,31,1,raw:bst_649_1961.txt,31,,
189,,2,12,14,29,46,48,1961,32,1,raw:bst_649_1961.txt,32,,
190,,6,7,24,41,43,44,1961,33,1,raw:bst_649_1961.txt,33,,
191,,14,21,26,43,44,46,1961,34,1,raw:bst_649_1961.txt,34,,
192,,8,13,30,31,35,46,1961,35,1,raw:bst_649_1961.txt,35,,
193,,10,11,12,15,36,44,1961,36,1,raw:bst_649_1961.txt,36,,
194,,2,16,22,27,37,42,1961,37,1,raw:bst_649_1961.txt,37,,
195,,1,2,6,31,34,40,1961,38,1,raw:bst_649_1961.txt,38,,
196,,1,18,22,23,26,30,1961,39,1,raw:bst_649_1961.txt,39,,
197,,10,12,31,33,40,44,1961,40,1,raw:bst_649_1961.txt,40,,
198,,5,8,21,29,31,34,1961,41,1,raw:bst_649_1961.txt,41,,
199,,7,16,27,36,37,47,1961,42,1,raw:bst_649_1961.txt,42,,
200,,17,21,25,26,37,49,1961,43,1,raw:bst_649_1961.txt,43,,
201,,7,12,15,16,18,37,1961,44,1,raw:bst_649_1961.txt,44,,
202,,3,12,22,28,32,49,1961,45,1,raw:bst_649_1961.txt,45,,
203,,6,14,25,30,40,45,1961,46,1,raw:bst_649_1961.txt,46,,
204,,1,15,19,20,25,46,1961,47,1,raw:bst_649_1961.txt,47,,
